model,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_macro_f1,val_high_risk_recall,training_time
LSTM,50,0.006556361353739842,0.25852998161549273,0.9978,0.9572131768269595,0.8106500096389663,0.4672364672364672,123.38641953468323
Autoformer,10,0.1436579744022757,0.08384100993444563,0.9302655754133957,0.9615044806260254,0.7865889734474125,0.29914529914529914,24.544523000717163
Autoformer,20,0.14239581592892556,0.08833543478295192,0.9305717944435165,0.958601539820775,0.7329869477729795,0.15669515669515668,49.59114122390747
Autoformer,30,0.12524005019879972,0.09142870513180783,0.9383664606647737,0.9589801842736337,0.8112873600041487,0.43304843304843305,75.4813220500946
Autoformer,40,0.1168091876329528,0.10130937853423687,0.9446300317354268,0.9548150952921873,0.7897423891159829,0.3817663817663818,101.50692963600159
Autoformer,50,0.10254844141496952,0.12441893527629412,0.9506430599632537,0.9559510286507636,0.7823558991777736,0.33048433048433046,126.16636610031128
Informer,10,0.14590111833863653,0.07546076069703185,0.9294304326039753,0.9612520509907864,0.8189449819194401,0.4472934472934473,23.519940614700317
Informer,20,0.12830730692447342,0.08346368133565442,0.9379767273537108,0.9584753250031554,0.80622548798542,0.42165242165242167,46.82158041000366
Informer,30,0.10451297659243784,0.10161754620970802,0.9527865931740994,0.9577180360974379,0.8079273884873839,0.4415954415954416,69.02762746810913
Informer,40,0.0852900365118951,0.12413268719786794,0.9643394020377485,0.9594850435441121,0.8094444035777136,0.4301994301994302,92.00033903121948
Informer,50,0.07065710698992111,0.12846260067527487,0.9706029731084015,0.9570869620093398,0.8071257067686947,0.4472934472934473,114.25331854820251
PatchTST,10,0.14409804525702444,0.07682511546932967,0.9301820611324536,0.960747191720308,0.8152132552095291,0.43874643874643876,70.16203689575195
PatchTST,20,0.13169584317015073,0.09451144689963649,0.9364456322031067,0.9583491101855358,0.8103222118077019,0.4415954415954416,146.68635153770447
PatchTST,30,0.1153534539099904,0.11683860435902765,0.9451867936083737,0.9565821027388616,0.8006781269534039,0.41595441595441596,217.44839429855347
PatchTST,40,0.09533799455888115,0.13327065320929607,0.9572406881576749,0.9594850435441121,0.8201735516865297,0.48148148148148145,287.9162788391113
PatchTST,50,0.07305512288544341,0.14022294394631427,0.9697399922053338,0.9575918212798182,0.8008081193717542,0.4074074074074074,358.3273229598999
TFT,10,0.14243150849647587,0.07642895155774795,0.9289850231056177,0.9618831250788843,0.7972888647278961,0.33618233618233617,46.26527976989746
TFT,20,0.12619051174798646,0.08802509079222673,0.9368353655141696,0.9574656064621987,0.8175751329791666,0.4843304843304843,118.55386209487915
